id,path,hash,size,mtime,attributes,updated_at
1,C:\Windows\System32\drivers\1394ohci.sys,9df5d0ebdbcaf08e3f376ae993aca8aedef266228d8f1dd41d6f79f294840b2f,294912,134024388554366790,32,1768562498
2,C:\Windows\System32\drivers\3ware.sys,537c7bf0dcc56757ddb97d709fa65c1b3cbf9619563df9a13fa8287b71d9e8b5,108464,133564297479504866,32,1768562498
3,C:\Windows\System32\drivers\acpi.sys,9069b3bfaecb2dc82d63f073d9cb2c2a91d4f26d6cc1150da2229dd667fa848c,873888,134115611357523931,32,1768562498
4,C:\Windows\System32\drivers\AcpiDev.sys,1e67b6fc028dbda713ac7557470178e260e5d069b6e301c2a8bcc3c8105136d9,61440,134115611357281421,32,1768562498
5,C:\Windows\System32\drivers\acpiex.sys,0ea9b48cb8e99d98aec52b1ee2f7a500dec3df60ce3f3e9bda3777d7ff1a0f98,181552,134024388613520599,32,1768562498
6,C:\Windows\System32\drivers\acpitime.sys,193eb944858c86c60d3ce1d834b003c0a3092beb20b27e7398199bc46c02dd5b,57344,134024388554522352,32,1768562498
7,C:\Windows\System32\drivers\Acx01000.sys,35192edd7712eebbf289ab7a16d367ce0ae4b8677ad9c6a2c94773339fc14b7f,745472,134115611562987409,32,1768562498
8,C:\Windows\System32\drivers\adp80xx.sys,9f3061731fc80c4e2d41bd379573ed12daf396d84bad1a5c89ed32b10febe929,1136544,133564297488567654,32,1768562498
9,C:\Windows\System32\drivers\afd.sys,6ba8840498b47063b74ce8125ad5fbe469df6e657049d3164b191a37247a3216,738728,134115612526338608,32,1768562498
10,C:\Windows\System32\drivers\afunix.sys,ddeb56cb27ff593403e4ca2e99f1e62d779171576afa2641b8f91e061979a296,90112,134115612455392815,32,1768562498
11,C:\Windows\System32\drivers\agilevpn.sys,6446fddef767ad820e0215b488bac19f5b178d0713f2c2277bba8ee8b43c16db,147456,134115612187624199,32,1768562498
12,C:\Windows\System32\drivers\ahcache.sys,cc0f3a4982bb314a5857f6d2787e9be9523eb32737a55844106e042cef3f6f14,376832,134115611571990689,32,1768562498
13,C:\Windows\System32\drivers\amdgpio2.sys,46a53925baa34fa9d87e7c3157504a4557d81cd8b8608e7ab6caf02f482f7792,18432,133564297387004163,32,1768562498
